date,Nordstrom,Starbucks,Microsoft
Mar-95,-3.62%,0.52%,12.13%
Apr-95,-5.68%,-2.11%,13.92%
May-95,7.82%,21.24%,3.53%
Jun-95,-0.30%,20.36%,6.50%
Jul-95,-2.76%,4.80%,0.14%
Aug-95,2.77%,6.79%,2.19%
Sep-95,1.20%,-5.46%,-2.19%
Oct-95,-11.91%,3.57%,9.98%
Nov-95,6.04%,7.37%,-13.78%
Dec-95,3.14%,-0.59%,0.72%
Jan-96,-3.14%,-22.61%,5.27%
Feb-96,14.24%,5.09%,6.47%
Mar-96,7.08%,27.97%,4.40%
Apr-96,4.91%,15.15%,9.37%
May-96,0.49%,0.00%,4.74%
Jun-96,-13.63%,4.06%,1.15%
Jul-96,-6.98%,-8.30%,-1.89%
Aug-96,-5.89%,23.08%,3.85%
Sep-96,-2.60%,0.76%,7.37%
Oct-96,-5.23%,-1.53%,3.99%
Nov-96,19.04%,6.33%,13.36%
Dec-96,-20.50%,-19.03%,5.20%
Jan-97,4.65%,17.94%,21.07%
Feb-97,-0.67%,-1.84%,-4.51%
Mar-97,3.01%,-12.67%,-6.15%
Apr-97,3.57%,0.84%,28.15%
May-97,20.39%,5.30%,2.04%
Jun-97,2.19%,21.20%,1.90%
Jul-97,14.45%,5.01%,11.22%
Aug-97,3.39%,0.15%,-6.72%
Sep-97,8.59%,1.96%,0.09%
Oct-97,-4.00%,-23.67%,-1.76%
Nov-97,-3.50%,5.53%,8.48%
Dec-97,2.30%,9.56%,-9.06%
Jan-98,-17.12%,-4.84%,14.35%
Feb-98,12.21%,7.89%,12.76%
Mar-98,10.69%,13.57%,5.45%
Apr-98,2.51%,6.02%,0.70%
May-98,9.84%,-0.26%,-6.08%
Jun-98,6.95%,10.73%,24.52%
Jul-98,-21.29%,-24.38%,1.43%
Aug-98,-3.96%,-28.27%,-13.62%
Sep-98,-19.03%,13.67%,13.73%
Oct-98,9.85%,18.12%,-3.88%
Nov-98,31.25%,6.15%,14.18%
Dec-98,-7.13%,19.62%,12.82%
Jan-99,18.23%,-7.51%,23.26%
Feb-99,-3.17%,1.55%,-15.33%
Mar-99,1.54%,5.97%,17.73%
Apr-99,-14.98%,27.48%,-9.73%
May-99,1.13%,-0.17%,-0.77%
Jun-99,-5.80%,1.85%,11.13%
Jul-99,-6.35%,-47.97%,-4.97%
Aug-99,-10.22%,-1.63%,7.57%
Sep-99,-4.75%,8.00%,-2.18%
Oct-99,-7.95%,9.27%,2.18%
Nov-99,11.22%,-2.33%,-1.65%
Dec-99,-5.54%,-9.11%,24.87%
Jan-00,-17.90%,27.73%,-17.63%
